Fluidity One-M Results File,,,,,,,,,,,,,,,,,,,,,,
Datafile version,5,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Instrument Serial Number,F1M-042,,,,,,,,,,,,,,,,,,,,,
Instrument Software Version,1.8.911-11359,,,,,,,,,,,,,,,,,,,,,
User Name,Guest,,,,,,,,,,,,,,,,,,,,,
User ID,,,,,,,,,,,,,,,,,,,,,,
Protocol Type,KD determination,,,,,,,,,,,,,,,,,,,,,
Protocol Name,OPTN WT 1.00 µM/GSTLC3B ,,,,,,,,,,,,,,,,,,,,,
Protocol ID,4c1b3b9e-4e57-4cdd-ba81-503740abd5ea,,,,,,,,,,,,,,,,,,,,,
Protocol Warnings,[None],,,,,,,,,,,,,,,,,,,,,
Protocol Errors,[None],,,,,,,,,,,,,,,,,,,,,
Protocol Quality Concerns,[None],,,,,,,,,,,,,,,,,,,,,
Chip Plate Batch Serial Number,24,,,,,,,,,,,,,,,,,,,,,
Chip Plate Batch Number,178023,,,,,,,,,,,,,,,,,,,,,
Chip Plate Expiry Date,19/09/2023,,,,,,,,,,,,,,,,,,,,,
Run ID,dc526559-9cbe-4f27-860f-676e610d1419,,,,,,,,,,,,,,,,,,,,,
Run Start Timestamp,Tue Nov 07 15:33:02 GMT 2023,,,,,,,,,,,,,,,,,,,,,
Run End Timestamp,Tue Nov 07 15:55:16 GMT 2023,,,,,,,,,,,,,,,,,,,,,
Run Temperature C,25,,,,,,,,,,,,,,,,,,,,,
Run Errors,[Error 41],,,,,,,,,,,,,,,,,,,,,
Run Warnings,[None],,,,,,,,,,,,,,,,,,,,,
Run Quality Concerns,[None],,,,,,,,,,,,,,,,,,,,,
Binding KD nM,86.10906219482422,,,,,,,,,,,,,,,,,,,,,
Binding Rh free,1.230199933052063,,,,,,,,,,,,,,,,,,,,,
Binding Rh complex,4.173322677612305,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Circuit ID,Labeled Species Name,Labeled Species Concentration uM,Unlabeled Species Name,Unlabeled Species Concentration uM,Third Species Name,Third Species Concentration in uM,Complex Mixture Name,Complex Mixture Dilution Percentage,Flow Buffer Name,Dilutant Buffer Name,Color Setting,Viscosity Setting,Size Setting,Sample Radius nm,Total Intensity A.U.,Circuit Status,Diffused Raw Empty Mcps per uW,Diffused Raw Filled Mcps per uW,Diffused Compensated Net Signal Mcps per uW,Undiffused Raw Empty Mcps per uW,Undiffused Raw Filled Mcps per uW,Undiffused Compensated Net Signal Mcps per uW
A1,OPTN WT,1,GSTLC3B,373,,,,,tbst dtt,tbst dtt,GREEN,SETTING 1,XSMALL (1.0-4.7 nm),3.44,21.9,,0.0316,4.88,5.43,0.00325,14.7,16.4
B1,OPTN WT,1,GSTLC3B,187,,,,,tbst dtt,tbst dtt,GREEN,SETTING 1,XSMALL (1.0-4.7 nm),3.55,22.7,,0.00306,6.89,6.57,0.00293,16.9,16.1
C1,OPTN WT,1,GSTLC3B,93.3,,,,,tbst dtt,tbst dtt,GREEN,SETTING 1,XSMALL (1.0-4.7 nm),2.71,24.3,,0.00292,6.83,7.29,0.00301,16,17.1
D1,OPTN WT,1,GSTLC3B,46.6,,,,,tbst dtt,tbst dtt,GREEN,SETTING 1,XSMALL (1.0-4.7 nm),2.46,26,,0.00332,8.26,8.55,0.00324,16.9,17.5
E1,OPTN WT,1,GSTLC3B,23.3,,,,,tbst dtt,tbst dtt,GREEN,SETTING 1,XSMALL (1.0-4.7 nm),,27.6,Error 41,0.00293,12.6,12.7,0.00309,14.9,14.9
F1,OPTN WT,1,GSTLC3B,11.7,,,,,tbst dtt,tbst dtt,GREEN,SETTING 1,XSMALL (1.0-4.7 nm),1.82,27.7,,0.00319,11.2,10.6,0.00311,18,17.1
